english,korean,kind,category_slug,category_kr,item_slug,poe2db_us,poe2db_kr
Romira's Requital,로미라의 보답,gem,Gem,젬,Romiras_Requital,https://poe2db.tw/us/Romiras_Requital,https://poe2db.tw/kr/Romiras_Requital
Rupture,파열,gem,Gem,젬,Rupture,https://poe2db.tw/us/Rupture,https://poe2db.tw/kr/Rupture
Rusted Spikes,녹슨 가시,gem,Gem,젬,Rusted_Spikes,https://poe2db.tw/us/Rusted_Spikes,https://poe2db.tw/kr/Rusted_Spikes
Ruthless,무자비,gem,Gem,젬,Ruthless,https://poe2db.tw/us/Ruthless,https://poe2db.tw/kr/Ruthless
Sacrifice,희생,gem,Gem,젬,Sacrifice,https://poe2db.tw/us/Sacrifice,https://poe2db.tw/kr/Sacrifice
Sacrificial Lamb I,희생양 I,gem,Gem,젬,Sacrificial_Lamb_I,https://poe2db.tw/us/Sacrificial_Lamb_I,https://poe2db.tw/kr/Sacrificial_Lamb_I
Sacrificial Lamb II,희생양 II,gem,Gem,젬,Sacrificial_Lamb_II,https://poe2db.tw/us/Sacrificial_Lamb_II,https://poe2db.tw/kr/Sacrificial_Lamb_II
Sacrificial Offering,희생의 공물,gem,Gem,젬,Sacrificial_Offering,https://poe2db.tw/us/Sacrificial_Offering,https://poe2db.tw/kr/Sacrificial_Offering
Salvo,포화,gem,Gem,젬,Salvo,https://poe2db.tw/us/Salvo,https://poe2db.tw/kr/Salvo
Scavenged Plating,주운 판금,gem,Gem,젬,Scavenged_Plating,https://poe2db.tw/us/Scavenged_Plating,https://poe2db.tw/kr/Scavenged_Plating
Searing Flame I,이글거리는 화염 I,gem,Gem,젬,Searing_Flame_I,https://poe2db.tw/us/Searing_Flame_I,https://poe2db.tw/kr/Searing_Flame_I
Searing Flame II,이글거리는 화염 II,gem,Gem,젬,Searing_Flame_II,https://poe2db.tw/us/Searing_Flame_II,https://poe2db.tw/kr/Searing_Flame_II
Second Wind I,새로운 활력 I,gem,Gem,젬,Second_Wind_I,https://poe2db.tw/us/Second_Wind_I,https://poe2db.tw/kr/Second_Wind_I
Second Wind II,새로운 활력 II,gem,Gem,젬,Second_Wind_II,https://poe2db.tw/us/Second_Wind_II,https://poe2db.tw/kr/Second_Wind_II
Second Wind III,새로운 활력 III,gem,Gem,젬,Second_Wind_III,https://poe2db.tw/us/Second_Wind_III,https://poe2db.tw/kr/Second_Wind_III
See Red,빨간색 보기,gem,Gem,젬,See_Red,https://poe2db.tw/us/See_Red,https://poe2db.tw/kr/See_Red
Seismic Cry,지진 함성,gem,Gem,젬,Seismic_Cry,https://poe2db.tw/us/Seismic_Cry,https://poe2db.tw/kr/Seismic_Cry
Selfless Remnants,이타적인 잔류물,gem,Gem,젬,Selfless_Remnants,https://poe2db.tw/us/Selfless_Remnants,https://poe2db.tw/kr/Selfless_Remnants
Shield Charge,방패 돌진,gem,Gem,젬,Shield_Charge,https://poe2db.tw/us/Shield_Charge,https://poe2db.tw/kr/Shield_Charge
Shield Wall,방패의 벽,gem,Gem,젬,Shield_Wall,https://poe2db.tw/us/Shield_Wall,https://poe2db.tw/kr/Shield_Wall
Shock,감전,gem,Gem,젬,Shock,https://poe2db.tw/us/Shock,https://poe2db.tw/kr/Shock
Shock Conduction,감전 전도,gem,Gem,젬,Shock_Conduction,https://poe2db.tw/us/Shock_Conduction,https://poe2db.tw/kr/Shock_Conduction
Shock Conduction II,감전 전도 II,gem,Gem,젬,Shock_Conduction_II,https://poe2db.tw/us/Shock_Conduction_II,https://poe2db.tw/kr/Shock_Conduction_II
Shock Siphon,충격 착취,gem,Gem,젬,Shock_Siphon,https://poe2db.tw/us/Shock_Siphon,https://poe2db.tw/kr/Shock_Siphon
Shockchain Arrow,감전연쇄 화살,gem,Gem,젬,Shockchain_Arrow,https://poe2db.tw/us/Shockchain_Arrow,https://poe2db.tw/kr/Shockchain_Arrow
Shocking Leap,감전 도약,gem,Gem,젬,Shocking_Leap,https://poe2db.tw/us/Shocking_Leap,https://poe2db.tw/kr/Shocking_Leap
Shockwave Totem,충격파 토템,gem,Gem,젬,Shockwave_Totem,https://poe2db.tw/us/Shockwave_Totem,https://poe2db.tw/kr/Shockwave_Totem
Short Fuse I,짧은 퓨즈 I,gem,Gem,젬,Short_Fuse_I,https://poe2db.tw/us/Short_Fuse_I,https://poe2db.tw/kr/Short_Fuse_I
Short Fuse II,짧은 퓨즈 II,gem,Gem,젬,Short_Fuse_II,https://poe2db.tw/us/Short_Fuse_II,https://poe2db.tw/kr/Short_Fuse_II
Sigil of Power,힘의 부적,gem,Gem,젬,Sigil_of_Power,https://poe2db.tw/us/Sigil_of_Power,https://poe2db.tw/kr/Sigil_of_Power
Sione's Temper,시온의 성미,gem,Gem,젬,Siones_Temper,https://poe2db.tw/us/Siones_Temper,https://poe2db.tw/kr/Siones_Temper
Siphon Elements,원소 착취,gem,Gem,젬,Siphon_Elements,https://poe2db.tw/us/Siphon_Elements,https://poe2db.tw/kr/Siphon_Elements
Skeletal Arsonist,해골 방화범,gem,Gem,젬,Skeletal_Arsonist,https://poe2db.tw/us/Skeletal_Arsonist,https://poe2db.tw/kr/Skeletal_Arsonist
Skeletal Brute,해골 돌격병,gem,Gem,젬,Skeletal_Brute,https://poe2db.tw/us/Skeletal_Brute,https://poe2db.tw/kr/Skeletal_Brute
Skeletal Cleric,해골 성직자,gem,Gem,젬,Skeletal_Cleric,https://poe2db.tw/us/Skeletal_Cleric,https://poe2db.tw/kr/Skeletal_Cleric
Skeletal Frost Mage,해골 서리 마법사,gem,Gem,젬,Skeletal_Frost_Mage,https://poe2db.tw/us/Skeletal_Frost_Mage,https://poe2db.tw/kr/Skeletal_Frost_Mage
Skeletal Reaver,해골 강탈자,gem,Gem,젬,Skeletal_Reaver,https://poe2db.tw/us/Skeletal_Reaver,https://poe2db.tw/kr/Skeletal_Reaver
Skeletal Sniper,해골 저격수,gem,Gem,젬,Skeletal_Sniper,https://poe2db.tw/us/Skeletal_Sniper,https://poe2db.tw/kr/Skeletal_Sniper
Skeletal Storm Mage,해골 폭풍 마법사,gem,Gem,젬,Skeletal_Storm_Mage,https://poe2db.tw/us/Skeletal_Storm_Mage,https://poe2db.tw/kr/Skeletal_Storm_Mage
Skeletal Warrior,해골 전사,gem,Gem,젬,Skeletal_Warrior,https://poe2db.tw/us/Skeletal_Warrior,https://poe2db.tw/kr/Skeletal_Warrior
Skittering Stone I,달리는 돌 I,gem,Gem,젬,Skittering_Stone_I,https://poe2db.tw/us/Skittering_Stone_I,https://poe2db.tw/kr/Skittering_Stone_I
Skittering Stone II,달리는 돌 II,gem,Gem,젬,Skittering_Stone_II,https://poe2db.tw/us/Skittering_Stone_II,https://poe2db.tw/kr/Skittering_Stone_II
Slow Potency,느린 효력,gem,Gem,젬,Slow_Potency,https://poe2db.tw/us/Slow_Potency,https://poe2db.tw/kr/Slow_Potency
Snap,돌발,gem,Gem,젬,Snap,https://poe2db.tw/us/Snap,https://poe2db.tw/kr/Snap
Snipe,저격,gem,Gem,젬,Snipe,https://poe2db.tw/us/Snipe,https://poe2db.tw/kr/Snipe
Sniper's Mark,저격수의 징표,gem,Gem,젬,Snipers_Mark,https://poe2db.tw/us/Snipers_Mark,https://poe2db.tw/kr/Snipers_Mark
Solar Orb,태양의 보주,gem,Gem,젬,Solar_Orb,https://poe2db.tw/us/Solar_Orb,https://poe2db.tw/kr/Solar_Orb
Soul Crystal: {0},영혼 수정: {0},gem,Gem,젬,Soul_Crystal:_{0},https://poe2db.tw/us/Soul_Crystal%3A_%7B0%7D,https://poe2db.tw/kr/Soul_Crystal%3A_%7B0%7D
Soul Drain,영혼 고갈,gem,Gem,젬,Soul_Drain,https://poe2db.tw/us/Soul_Drain,https://poe2db.tw/kr/Soul_Drain
Soul Offering,영혼 공물,gem,Gem,젬,Soul_Offering,https://poe2db.tw/us/Soul_Offering,https://poe2db.tw/kr/Soul_Offering
Soulbreaker,영혼파괴자,gem,Gem,젬,Soulbreaker,https://poe2db.tw/us/Soulbreaker,https://poe2db.tw/kr/Soulbreaker
Soulrend,영혼 분리,gem,Gem,젬,Soulrend,https://poe2db.tw/us/Soulrend,https://poe2db.tw/kr/Soulrend
Spar,대련,gem,Gem,젬,Spar,https://poe2db.tw/us/Spar,https://poe2db.tw/kr/Spar
Spark,전기불꽃,gem,Gem,젬,Spark,https://poe2db.tw/us/Spark,https://poe2db.tw/kr/Spark
Spear of Solaris,솔라리스의 창,gem,Gem,젬,Spear_of_Solaris,https://poe2db.tw/us/Spear_of_Solaris,https://poe2db.tw/kr/Spear_of_Solaris
Spearfield,창의 지대,gem,Gem,젬,Spearfield,https://poe2db.tw/us/Spearfield,https://poe2db.tw/kr/Spearfield
Spectral Volley,영체 사격 공세,gem,Gem,젬,Spectral_Volley,https://poe2db.tw/us/Spectral_Volley,https://poe2db.tw/kr/Spectral_Volley
Spectre: {0},망령: {0},gem,Gem,젬,Spectre:_{0},https://poe2db.tw/us/Spectre%3A_%7B0%7D,https://poe2db.tw/kr/Spectre%3A_%7B0%7D
Spell Cascade,연속 주문,gem,Gem,젬,Spell_Cascade,https://poe2db.tw/us/Spell_Cascade,https://poe2db.tw/kr/Spell_Cascade
Spell Echo,주문 메아리,gem,Gem,젬,Spell_Echo,https://poe2db.tw/us/Spell_Echo,https://poe2db.tw/kr/Spell_Echo
Spellslinger,주문투척,gem,Gem,젬,Spellslinger,https://poe2db.tw/us/Spellslinger,https://poe2db.tw/kr/Spellslinger
Spinning Inferno,회전 지옥불,gem,Gem,젬,Spinning_Inferno,https://poe2db.tw/us/Spinning_Inferno,https://poe2db.tw/kr/Spinning_Inferno
Spiral Volley,나선 사격 공세,gem,Gem,젬,Spiral_Volley,https://poe2db.tw/us/Spiral_Volley,https://poe2db.tw/kr/Spiral_Volley
Spiraling Conspiracy,고조되는 음모,gem,Gem,젬,Spiraling_Conspiracy,https://poe2db.tw/us/Spiraling_Conspiracy,https://poe2db.tw/kr/Spiraling_Conspiracy
Splinter Totem I,파편 토템 I,gem,Gem,젬,Splinter_Totem_I,https://poe2db.tw/us/Splinter_Totem_I,https://poe2db.tw/kr/Splinter_Totem_I
Splinter Totem II,파편 토템 II,gem,Gem,젬,Splinter_Totem_II,https://poe2db.tw/us/Splinter_Totem_II,https://poe2db.tw/kr/Splinter_Totem_II
Spreading Frost,퍼져가는 서리,gem,Gem,젬,Spreading_Frost,https://poe2db.tw/us/Spreading_Frost,https://poe2db.tw/kr/Spreading_Frost
Stampede,쇄도,gem,Gem,젬,Stampede,https://poe2db.tw/us/Stampede,https://poe2db.tw/kr/Stampede
Static Shocks,정전기 감전,gem,Gem,젬,Static_Shocks,https://poe2db.tw/us/Static_Shocks,https://poe2db.tw/kr/Static_Shocks
Steadfast I,요지부동 I,gem,Gem,젬,Steadfast_I,https://poe2db.tw/us/Steadfast_I,https://poe2db.tw/kr/Steadfast_I
Steadfast II,요지부동 II,gem,Gem,젬,Steadfast_II,https://poe2db.tw/us/Steadfast_II,https://poe2db.tw/kr/Steadfast_II
Stoicism I,극기 I,gem,Gem,젬,Stoicism_I,https://poe2db.tw/us/Stoicism_I,https://poe2db.tw/kr/Stoicism_I
Stoicism II,극기 II,gem,Gem,젬,Stoicism_II,https://poe2db.tw/us/Stoicism_II,https://poe2db.tw/kr/Stoicism_II
Stomping Ground,짓밟는 지대,gem,Gem,젬,Stomping_Ground,https://poe2db.tw/us/Stomping_Ground,https://poe2db.tw/kr/Stomping_Ground
Storm Lance,폭풍의 창,gem,Gem,젬,Storm_Lance,https://poe2db.tw/us/Storm_Lance,https://poe2db.tw/kr/Storm_Lance
Stormcaller Arrow,폭풍 소환사 화살,gem,Gem,젬,Stormcaller_Arrow,https://poe2db.tw/us/Stormcaller_Arrow,https://poe2db.tw/kr/Stormcaller_Arrow
Stormchain,폭풍연쇄,gem,Gem,젬,Stormchain,https://poe2db.tw/us/Stormchain,https://poe2db.tw/kr/Stormchain
Stormfire,태풍불길,gem,Gem,젬,Stormfire,https://poe2db.tw/us/Stormfire,https://poe2db.tw/kr/Stormfire
Streamlined Rounds,유선형 탄환,gem,Gem,젬,Streamlined_Rounds,https://poe2db.tw/us/Streamlined_Rounds,https://poe2db.tw/kr/Streamlined_Rounds
Strong Hearted,강심장,gem,Gem,젬,Strong_Hearted,https://poe2db.tw/us/Strong_Hearted,https://poe2db.tw/kr/Strong_Hearted
Stun I,기절 I,gem,Gem,젬,Stun_I,https://poe2db.tw/us/Stun_I,https://poe2db.tw/kr/Stun_I
Stun II,기절 II,gem,Gem,젬,Stun_II,https://poe2db.tw/us/Stun_II,https://poe2db.tw/kr/Stun_II
Stun III,기절 III,gem,Gem,젬,Stun_III,https://poe2db.tw/us/Stun_III,https://poe2db.tw/kr/Stun_III
Sunder,산산조각,gem,Gem,젬,Sunder,https://poe2db.tw/us/Sunder,https://poe2db.tw/kr/Sunder
Supercharged Slam,초과 충전 강타,gem,Gem,젬,Supercharged_Slam,https://poe2db.tw/us/Supercharged_Slam,https://poe2db.tw/kr/Supercharged_Slam
Supercritical,초치명타,gem,Gem,젬,Supercritical,https://poe2db.tw/us/Supercritical,https://poe2db.tw/kr/Supercritical
Swift Affliction I,고통 격화 I,gem,Gem,젬,Swift_Affliction_I,https://poe2db.tw/us/Swift_Affliction_I,https://poe2db.tw/kr/Swift_Affliction_I
Swift Affliction II,고통 격화 II,gem,Gem,젬,Swift_Affliction_II,https://poe2db.tw/us/Swift_Affliction_II,https://poe2db.tw/kr/Swift_Affliction_II
Swift Affliction III,고통 격화 III,gem,Gem,젬,Swift_Affliction_III,https://poe2db.tw/us/Swift_Affliction_III,https://poe2db.tw/kr/Swift_Affliction_III
Syzygy,삭망,gem,Gem,젬,Syzygy,https://poe2db.tw/us/Syzygy,https://poe2db.tw/kr/Syzygy
Tacati's Ire,타카티의 진노,gem,Gem,젬,Tacatis_Ire,https://poe2db.tw/us/Tacatis_Ire,https://poe2db.tw/kr/Tacatis_Ire
Tame Beast,짐승 길들이기,gem,Gem,젬,Tame_Beast,https://poe2db.tw/us/Tame_Beast,https://poe2db.tw/kr/Tame_Beast
Tasalio's Rhythm,타살리오의 리듬,gem,Gem,젬,Tasalios_Rhythm,https://poe2db.tw/us/Tasalios_Rhythm,https://poe2db.tw/kr/Tasalios_Rhythm
Tawhoa's Tending,타호아의 보살핌,gem,Gem,젬,Tawhoas_Tending,https://poe2db.tw/us/Tawhoas_Tending,https://poe2db.tw/kr/Tawhoas_Tending
Tear,찢기,gem,Gem,젬,Tear,https://poe2db.tw/us/Tear,https://poe2db.tw/kr/Tear
Tecrod's Revenge,테크로드의 복수,gem,Gem,젬,Tecrods_Revenge,https://poe2db.tw/us/Tecrods_Revenge,https://poe2db.tw/kr/Tecrods_Revenge
Tectonic Slams,지층 강타,gem,Gem,젬,Tectonic_Slams,https://poe2db.tw/us/Tectonic_Slams,https://poe2db.tw/kr/Tectonic_Slams
Temporal Chains,시간의 사슬,gem,Gem,젬,Temporal_Chains,https://poe2db.tw/us/Temporal_Chains,https://poe2db.tw/kr/Temporal_Chains
Thornskin I,가시피부 I,gem,Gem,젬,Thornskin_I,https://poe2db.tw/us/Thornskin_I,https://poe2db.tw/kr/Thornskin_I
Thornskin II,가시피부 II,gem,Gem,젬,Thornskin_II,https://poe2db.tw/us/Thornskin_II,https://poe2db.tw/kr/Thornskin_II
Thrill of the Kill,살인의 전율,gem,Gem,젬,Thrill_of_the_Kill,https://poe2db.tw/us/Thrill_of_the_Kill,https://poe2db.tw/kr/Thrill_of_the_Kill
Thrill of the Kill II,살인의 전율 II,gem,Gem,젬,Thrill_of_the_Kill_II,https://poe2db.tw/us/Thrill_of_the_Kill_II,https://poe2db.tw/kr/Thrill_of_the_Kill_II
Thunderous Leap,천둥 같은 도약,gem,Gem,젬,Thunderous_Leap,https://poe2db.tw/us/Thunderous_Leap,https://poe2db.tw/kr/Thunderous_Leap
Time of Need,긴요한 시기,gem,Gem,젬,Time_of_Need,https://poe2db.tw/us/Time_of_Need,https://poe2db.tw/kr/Time_of_Need
Tireless,끈기,gem,Gem,젬,Tireless,https://poe2db.tw/us/Tireless,https://poe2db.tw/kr/Tireless
Tornado Shot,회오리 사격,gem,Gem,젬,Tornado_Shot,https://poe2db.tw/us/Tornado_Shot,https://poe2db.tw/kr/Tornado_Shot
Toxic Domain,맹독성 영역,gem,Gem,젬,Toxic_Domain,https://poe2db.tw/us/Toxic_Domain,https://poe2db.tw/kr/Toxic_Domain
Toxic Growth,맹독성 종양,gem,Gem,젬,Toxic_Growth,https://poe2db.tw/us/Toxic_Growth,https://poe2db.tw/kr/Toxic_Growth
Trail of Caltrops,마름쇠의 발자취,gem,Gem,젬,Trail_of_Caltrops,https://poe2db.tw/us/Trail_of_Caltrops,https://poe2db.tw/kr/Trail_of_Caltrops
Tremors,진동,gem,Gem,젬,Tremors,https://poe2db.tw/us/Tremors,https://poe2db.tw/kr/Tremors
Tul's Stillness,툴의 고요,gem,Gem,젬,Tuls_Stillness,https://poe2db.tw/us/Tuls_Stillness,https://poe2db.tw/kr/Tuls_Stillness
Tumult,격동,gem,Gem,젬,Tumult,https://poe2db.tw/us/Tumult,https://poe2db.tw/kr/Tumult
Twister,돌개바람,gem,Gem,젬,Twister,https://poe2db.tw/us/Twister,https://poe2db.tw/kr/Twister
Uhtred's Augury,우트레드의 점술,gem,Gem,젬,Uhtreds_Augury,https://poe2db.tw/us/Uhtreds_Augury,https://poe2db.tw/kr/Uhtreds_Augury
Uhtred's Exodus,우트레드의 탈출,gem,Gem,젬,Uhtreds_Exodus,https://poe2db.tw/us/Uhtreds_Exodus,https://poe2db.tw/kr/Uhtreds_Exodus
Uhtred's Omen,우트레드의 징조,gem,Gem,젬,Uhtreds_Omen,https://poe2db.tw/us/Uhtreds_Omen,https://poe2db.tw/kr/Uhtreds_Omen
Unabating,불요불굴,gem,Gem,젬,Unabating,https://poe2db.tw/us/Unabating,https://poe2db.tw/kr/Unabating
Unbending,부동,gem,Gem,젬,Unbending,https://poe2db.tw/us/Unbending,https://poe2db.tw/kr/Unbending
Unbreakable,무적,gem,Gem,젬,Unbreakable,https://poe2db.tw/us/Unbreakable,https://poe2db.tw/kr/Unbreakable
Undermine,기반 약화,gem,Gem,젬,Undermine,https://poe2db.tw/us/Undermine,https://poe2db.tw/kr/Undermine
Unearth,발굴,gem,Gem,젬,Unearth,https://poe2db.tw/us/Unearth,https://poe2db.tw/kr/Unearth
Unerring Power,흔들리지 않는 힘,gem,Gem,젬,Unerring_Power,https://poe2db.tw/us/Unerring_Power,https://poe2db.tw/kr/Unerring_Power
Unleash,촉발,gem,Gem,젬,Unleash,https://poe2db.tw/us/Unleash,https://poe2db.tw/kr/Unleash
Unsteady Tempo,불안정한 속도,gem,Gem,젬,Unsteady_Tempo,https://poe2db.tw/us/Unsteady_Tempo,https://poe2db.tw/kr/Unsteady_Tempo
Untouchable,불가촉,gem,Gem,젬,Untouchable,https://poe2db.tw/us/Untouchable,https://poe2db.tw/kr/Untouchable
Unyielding,완고,gem,Gem,젬,Unyielding,https://poe2db.tw/us/Unyielding,https://poe2db.tw/kr/Unyielding
Upheaval I,격변 I,gem,Gem,젬,Upheaval_I,https://poe2db.tw/us/Upheaval_I,https://poe2db.tw/kr/Upheaval_I
Upheaval II,격변 II,gem,Gem,젬,Upheaval_II,https://poe2db.tw/us/Upheaval_II,https://poe2db.tw/kr/Upheaval_II
Upwelling I,용승 I,gem,Gem,젬,Upwelling_I,https://poe2db.tw/us/Upwelling_I,https://poe2db.tw/kr/Upwelling_I
Upwelling II,용승 II,gem,Gem,젬,Upwelling_II,https://poe2db.tw/us/Upwelling_II,https://poe2db.tw/kr/Upwelling_II
Urgent Totems I,긴급한 토템 I,gem,Gem,젬,Urgent_Totems_I,https://poe2db.tw/us/Urgent_Totems_I,https://poe2db.tw/kr/Urgent_Totems_I
Urgent Totems II,긴급한 토템 II,gem,Gem,젬,Urgent_Totems_II,https://poe2db.tw/us/Urgent_Totems_II,https://poe2db.tw/kr/Urgent_Totems_II
Urgent Totems III,긴급한 토템 III,gem,Gem,젬,Urgent_Totems_III,https://poe2db.tw/us/Urgent_Totems_III,https://poe2db.tw/kr/Urgent_Totems_III
Uruk's Smelting,우루크의 제련,gem,Gem,젬,Uruks_Smelting,https://poe2db.tw/us/Uruks_Smelting,https://poe2db.tw/kr/Uruks_Smelting
Uul-Netol's Embrace,울네톨의 포옹,gem,Gem,젬,Uul-Netols_Embrace,https://poe2db.tw/us/Uul-Netols_Embrace,https://poe2db.tw/kr/Uul-Netols_Embrace
Vanguard I,선봉대 I,gem,Gem,젬,Vanguard_I,https://poe2db.tw/us/Vanguard_I,https://poe2db.tw/kr/Vanguard_I
Vanguard II,선봉대 II,gem,Gem,젬,Vanguard_II,https://poe2db.tw/us/Vanguard_II,https://poe2db.tw/kr/Vanguard_II
Varashta's Blessing,바라시타의 축복,gem,Gem,젬,Varashtas_Blessing,https://poe2db.tw/us/Varashtas_Blessing,https://poe2db.tw/kr/Varashtas_Blessing
Verglas,베르글라,gem,Gem,젬,Verglas,https://poe2db.tw/us/Verglas,https://poe2db.tw/kr/Verglas
Vilenta's Propulsion,바일렌타의 추진,gem,Gem,젬,Vilentas_Propulsion,https://poe2db.tw/us/Vilentas_Propulsion,https://poe2db.tw/kr/Vilentas_Propulsion
Vine Arrow,덩굴 화살,gem,Gem,젬,Vine_Arrow,https://poe2db.tw/us/Vine_Arrow,https://poe2db.tw/kr/Vine_Arrow
Vitality I,활력 I,gem,Gem,젬,Vitality_I,https://poe2db.tw/us/Vitality_I,https://poe2db.tw/kr/Vitality_I
Vitality II,활력 II,gem,Gem,젬,Vitality_II,https://poe2db.tw/us/Vitality_II,https://poe2db.tw/kr/Vitality_II
Volatile Dead,시체 불덩이,gem,Gem,젬,Volatile_Dead,https://poe2db.tw/us/Volatile_Dead,https://poe2db.tw/kr/Volatile_Dead
Volatile Power,일촉즉발의 힘,gem,Gem,젬,Volatile_Power,https://poe2db.tw/us/Volatile_Power,https://poe2db.tw/kr/Volatile_Power
Volatility,일촉즉발,gem,Gem,젬,Volatility,https://poe2db.tw/us/Volatility,https://poe2db.tw/kr/Volatility
Volcanic Eruption,화산 분출,gem,Gem,젬,Volcanic_Eruption,https://poe2db.tw/us/Volcanic_Eruption,https://poe2db.tw/kr/Volcanic_Eruption
Volcanic Fissure,화산 균열,gem,Gem,젬,Volcanic_Fissure,https://poe2db.tw/us/Volcanic_Fissure,https://poe2db.tw/kr/Volcanic_Fissure
Volt,전압,gem,Gem,젬,Volt,https://poe2db.tw/us/Volt,https://poe2db.tw/kr/Volt
Voltaic Mark,전도성 징표,gem,Gem,젬,Voltaic_Mark,https://poe2db.tw/us/Voltaic_Mark,https://poe2db.tw/kr/Voltaic_Mark
Vruun's Inevitability,브룬의 필연,gem,Gem,젬,Vruuns_Inevitability,https://poe2db.tw/us/Vruuns_Inevitability,https://poe2db.tw/kr/Vruuns_Inevitability
Vulnerability,취약성,gem,Gem,젬,Vulnerability,https://poe2db.tw/us/Vulnerability,https://poe2db.tw/kr/Vulnerability
Warm Blooded,따뜻한 피,gem,Gem,젬,Warm_Blooded,https://poe2db.tw/us/Warm_Blooded,https://poe2db.tw/kr/Warm_Blooded
Whirling Slash,소용돌이 베기,gem,Gem,젬,Whirling_Slash,https://poe2db.tw/us/Whirling_Slash,https://poe2db.tw/kr/Whirling_Slash
Whirlwind Lance,와류 기병창,gem,Gem,젬,Whirlwind_Lance,https://poe2db.tw/us/Whirlwind_Lance,https://poe2db.tw/kr/Whirlwind_Lance
Wildfire,도깨비불,gem,Gem,젬,Wildfire,https://poe2db.tw/us/Wildfire,https://poe2db.tw/kr/Wildfire
Wildshards I,난무하는 파편 I,gem,Gem,젬,Wildshards_I,https://poe2db.tw/us/Wildshards_I,https://poe2db.tw/kr/Wildshards_I
Wildshards II,난무하는 파편 II,gem,Gem,젬,Wildshards_II,https://poe2db.tw/us/Wildshards_II,https://poe2db.tw/kr/Wildshards_II
Wind Dancer,바람의 무희,gem,Gem,젬,Wind_Dancer,https://poe2db.tw/us/Wind_Dancer,https://poe2db.tw/kr/Wind_Dancer
Wind Serpent's Fury,바람 독사의 광분,gem,Gem,젬,Wind_Serpents_Fury,https://poe2db.tw/us/Wind_Serpents_Fury,https://poe2db.tw/kr/Wind_Serpents_Fury
Wind Wave,바람 파장,gem,Gem,젬,Wind_Wave,https://poe2db.tw/us/Wind_Wave,https://poe2db.tw/kr/Wind_Wave
Window of Opportunity I,기회의 창 I,gem,Gem,젬,Window_of_Opportunity_I,https://poe2db.tw/us/Window_of_Opportunity_I,https://poe2db.tw/kr/Window_of_Opportunity_I
Window of Opportunity II,기회의 창 II,gem,Gem,젬,Window_of_Opportunity_II,https://poe2db.tw/us/Window_of_Opportunity_II,https://poe2db.tw/kr/Window_of_Opportunity_II
Wither,위축,gem,Gem,젬,Wither,https://poe2db.tw/us/Wither,https://poe2db.tw/kr/Wither
Withering Presence,고사시키는 존재,gem,Gem,젬,Withering_Presence,https://poe2db.tw/us/Withering_Presence,https://poe2db.tw/kr/Withering_Presence
Withering Touch,위축의 손길,gem,Gem,젬,Withering_Touch,https://poe2db.tw/us/Withering_Touch,https://poe2db.tw/kr/Withering_Touch
Xibaqua's Rending,지바콰의 분리,gem,Gem,젬,Xibaquas_Rending,https://poe2db.tw/us/Xibaquas_Rending,https://poe2db.tw/kr/Xibaquas_Rending
Xoph's Pyre,조프의 장작,gem,Gem,젬,Xophs_Pyre,https://poe2db.tw/us/Xophs_Pyre,https://poe2db.tw/kr/Xophs_Pyre
Zarokh's Refrain,자로크의 절제,gem,Gem,젬,Zarokhs_Refrain,https://poe2db.tw/us/Zarokhs_Refrain,https://poe2db.tw/kr/Zarokhs_Refrain
Zarokh's Revolt,자로크의 봉기,gem,Gem,젬,Zarokhs_Revolt,https://poe2db.tw/us/Zarokhs_Revolt,https://poe2db.tw/kr/Zarokhs_Revolt
Zenith I,북극성 I,gem,Gem,젬,Zenith_I,https://poe2db.tw/us/Zenith_I,https://poe2db.tw/kr/Zenith_I
Zenith II,북극성 II,gem,Gem,젬,Zenith_II,https://poe2db.tw/us/Zenith_II,https://poe2db.tw/kr/Zenith_II
Zerphi's Infamy,제르피의 악명,gem,Gem,젬,Zerphis_Infamy,https://poe2db.tw/us/Zerphis_Infamy,https://poe2db.tw/kr/Zerphis_Infamy
[DNT-UNUSED] Axe Chop,[DNT-UNUSED] Axe Chop,gem,Gem,젬,DNT-UNUSED_Axe_Chop,https://poe2db.tw/us/DNT-UNUSED_Axe_Chop,https://poe2db.tw/kr/DNT-UNUSED_Axe_Chop
[DNT-UNUSED] Axe Execute,[DNT-UNUSED] Axe Execute,gem,Gem,젬,DNT-UNUSED_Axe_Execute,https://poe2db.tw/us/DNT-UNUSED_Axe_Execute,https://poe2db.tw/kr/DNT-UNUSED_Axe_Execute
[DNT-UNUSED] Axe Heavy Cleave,[DNT-UNUSED] Axe Heavy Cleave,gem,Gem,젬,DNT-UNUSED_Axe_Heavy_Cleave,https://poe2db.tw/us/DNT-UNUSED_Axe_Heavy_Cleave,https://poe2db.tw/kr/DNT-UNUSED_Axe_Heavy_Cleave
[DNT-UNUSED] Axe Leaping Chop,[DNT-UNUSED] Axe Leaping Chop,gem,Gem,젬,DNT-UNUSED_Axe_Leaping_Chop,https://poe2db.tw/us/DNT-UNUSED_Axe_Leaping_Chop,https://poe2db.tw/kr/DNT-UNUSED_Axe_Leaping_Chop
[DNT-UNUSED] Axe Raised Chop,[DNT-UNUSED] Axe Raised Chop,gem,Gem,젬,DNT-UNUSED_Axe_Raised_Chop,https://poe2db.tw/us/DNT-UNUSED_Axe_Raised_Chop,https://poe2db.tw/kr/DNT-UNUSED_Axe_Raised_Chop
